업체,지점,주소,Latitude,Longitude
초록마을,광장점,서울 광진구 아차산로 477,37.540732,127.094682
초록마을,전농점,서울 동대문구 사가정로 136,37.5775707,127.0598889
초록마을,신도림점,서울 구로구 경인로59길 8,37.5064478,126.8833784
초록마을,여의도점,서울 영등포구 국제금융로 7길 22,37.5232129,126.933086
초록마을,반포점,서울 서초구 신반포로 100,37.5030753,126.9956677
초록마을,은평점,서울 은평구 진관2로 77,37.6345633,126.9275683
초록마을,관악로점,서울 관악구 관악로24길 38,37.4845704,126.9565644
초록마을,개포점,서울 강남구 개포로82길 9-15,37.4889984,127.0682417
초록마을,목동점,서울 양천구 목동동로 393,37.5362003,126.8800958
초록마을,중계점,서울 노원구 한글비석로 245,37.6495965,127.0763777
초록마을,홍제점,서울 서대문구 통일로 422,37.5871388,126.9464497
초록마을,서울장안점,서울 동대문구 답십리로 304,37.5717955,127.0741877
초록마을,상암점,서울 마포구 상암산로1길 73,37.5801615,126.8831775
초록마을,길음점,서울 성북구 길음로 33,37.6075609,127.0179449
초록마을,마포점,서울 마포구 삼개로 27,37.5379449,126.9476376
초록마을,신천역점,서울 송파구 석촌호수로 61,37.5106414,127.086227
초록마을,신당점,서울 중구 청구로 64,37.5604482,127.0167306
초록마을,현대시장점,서울 관악구 은천로 110,37.4867047,126.9474866
초록마을,옥수점,서울 성동구 독서당로 223,37.5449597,127.0138463
초록마을,잠실나루역점,서울 송파구 올림픽로37길 130,37.5208648,127.1043128
초록마을,보라매점,서울 영등포구 여의대방로 65,37.4971936,126.9134344
초록마을,남성역점,서울 동작구 사당로 215,37.4846333,126.9723698
초록마을,서래마을점,서울 서초구 서래로 14,37.4962212,126.9983574
초록마을,우면점,서울 서초구 태봉로 62,37.4640472,127.0250245
초록마을,삼양점,서울 강북구 삼양로19길 214,37.6196546,127.0154415
초록마을,자양점,서울 광진구 뚝섬로 552,37.5342435,127.0712757
초록마을,압구정점,서울 강남구 압구정로29길 65,37.5317386,127.0270157
초록마을,아현뉴타운점,서울 마포구 마포대로 195,37.5555928,126.9536568
초록마을,신길뉴타운점,서울 영등포구 가마산로 442,37.50492,126.9081665
초록마을,염창점,서울 강서구 양천로73길 5,37.5516284,126.8719064
초록마을,창동점,서울 도봉구 노해로63가길 41,37.6545292,127.0451684
초록마을,장승배기역점,서울 동작구 상도로30길 40,37.5038796,126.9427755
초록마을,사당사계시장점,서울 동작구 동작대로29길 49,37.4883682,126.979233
초록마을,경희궁자이점,서울 종로구 송월길 99,37.5708297,126.9635609
초록마을,신월점,서울 양천구 신월로16길 8,37.5175979,126.842433
초록마을,상도점,서울 동작구 상도로 346-1,37.4954093,126.9508735
초록마을,수색DMC점,서울 은평구 수색로 322,37.5842799,126.8925933
초록마을,신용산점,서울 용산구 서빙고로 17,37.5258963,126.9676579
초록마을,신풍역점,서울 영등포구 신풍로 77,37.5009072,126.913563
초록마을,동부이촌점,서울 용산구 이촌로65가길 72,37.5208283,126.9749581
초록마을,녹번역점,서울 은평구 통일로 610,37.6017429,126.9368222
초록마을,목동롯데캐슬점,서울 양천구 목동중앙북로 38,37.5468897,126.8672385
초록마을,서울숲자이점,서울 성동구 고산자로2길 65,37.5551969,127.0383378
초록마을,고덕자이점,서울 강동구 상일로 55,37.5523884,127.1706617
초록마을,불광점,서울 은평구 불광로 64,37.6129475,126.9332575
초록마을,삼성점,서울 강남구 삼성로119길 49,37.5149524,127.047524
초록마을,상일동역점,서울 강동구 고덕로 353,37.5579056,127.162626
초록마을,천왕점,서울 구로구 천왕로 36,37.4810083,126.8392702
초록마을,도곡시장점,서울 강남구 선릉로63길 13,37.4970269,127.051139
초록마을,방배점,서울 서초구 방배로 269,37.496639,126.987735
초록마을,흑석점,서울 동작구 흑석한강로 2,37.506598,126.9664777
초록마을,서초교대역점,서울 서초구 서초대로 347,37.4956498,127.0192299
초록마을,마포광흥창점,서울 마포구 창전로 45,37.5465933,126.9318228
초록마을,우장산역점,서울 강서구 강서로 242,37.5471979,126.8368101
초록마을,송파위례점,서울 송파구 위례광장로 136,37.4764108,127.1420412
초록마을,당산점,서울 영등포구 당산로44길 3,37.5318615,126.90107
초록마을,대치역점,서울 강남구 남부순환로 2927,37.49391,127.060213
초록마을,압구정한양점,서울 강남구 압구정로 309,37.5312143,127.0354395
초록마을,북아현점,서울 서대문구 북아현로1길 50,37.5602049,126.9521071
초록마을,용산리첸시아점,서울 용산구 백범로 341,37.5382753,126.9673632
초록마을,마포염리점,서울 마포구 숭문길 98,37.5501969,126.9484852
초록마을,올림픽공원점,서울 송파구 양재대로 1222,37.5158257,127.1322182
초록마을,목동하이페리온점,서울 양천구 오목로 300,37.5243479,126.8699169
초록마을,길음센터피스점,서울 성북구 숭인로50,37.611182,127.0272646
초록마을,도곡렉슬점,서울 강남구 선릉로 225,37.4953404,127.0526522
초록마을,헬리오시티점,서울 송파구 송파대로 345,37.497519,127.1072265
초록마을,럭키잠원점,서울 서초구 잠원로14길 29,37.5178426,127.0154173
초록마을,발산점,서울 강서구 수명로 68-27,37.5526771,126.8266819
초록마을,마곡점,서울 강서구 마곡중앙1로 20,37.5585339,126.82472
초록마을,양천구청점,서울 양천구 목동서로 377,37.5164223,126.8620547
초록마을,가재울점,서울 서대문구 가재울미래로 2,37.5722576,126.9178374
초록마을,서울금호점,서울 성동구 금호로 94,37.5516712,127.0257122
이마트,상봉점,서울 중랑구 망우본동 상봉로 118,37.5964815,127.0934539
롯데마트,김포공항점,서울 강서구 하늘길 38,37.5650592,126.8029919
이마트,목동점,서울 양천구 오목로 299,37.5259926,126.8703832
롯데마트,월드타워점,서울 송파구 올림픽로 300,37.5131008,127.1034334
홈플러스,방학점,서울 도봉구 도봉로 678,37.6648415,127.0437424
홈플러스,신도림점,서울 구로구 경인로 661,37.5094204,126.8877437
신세계백화점,영등포점,서울 영등포구 영중로 9,37.5171692,126.905563
신세계백화점,강남점,서울 서초구 신반포로 176,37.5043637,127.0036211
신세계백화점,본점,서울 중구 소공로 63,37.5609223,126.9811389
현대백화점,무역점,서울 강남구 테헤란로 517,37.5085949,127.0597186
홈플러스,강서점,서울 강서구 화곡로 398,37.5584079,126.8550157
홈플러스,금천점,서울 금천구 시흥대로 391,37.4686843,126.8968983
홈플러스,영등포점,서울 영등포구 당산로 42,37.5182266,126.8959242
홈플러스,월드컵점,서울 마포구 월드컵로 240,37.5638012,126.8997262
올가홀푸드,방배점,서울 서초구 방배로 162,37.4882589,126.9938391
올가홀푸드,압구정점,서울 강남구 압구정로 309,37.5312143,127.0354395
올가홀푸드,강남점,서울 강남구 대치동 937,37.4970578,127.0535939
올가홀푸드,잠실점,서울 송파구 가락동 중대로 168,37.4968239,127.1253466
올가홀푸드,관악점,서울 관악구 봉천로 209,37.4905387,126.9250502
올가홀푸드,명동점,서울 중구 을지로 30,37.5648094,126.9810897
올가홀푸드,영등포점,서울 영등포구 당산동5가,37.5320868,126.9012
올가홀푸드,노원점,서울 노원구 상계2동,37.656471,127.0662494
올가홀푸드,미아점,서울 송파구 방이동 185-8,37.5104456,127.1264624
올가홀푸드,스타시티점,서울 광진구 능동로 92,37.5387882,127.0711369
